Time,Magnitude,Location,,
2021-10-12T04:41:22.300Z,3.5, USA,,
2021-10-12T04:51:47.693Z,5, Colombia,,
2021-10-12T05:04:17.400Z,2.81, Puerto Rico,,
2021-10-12T05:59:12.871Z,3, New Mexico,,
2021-10-12T07:45:29.246Z,2.8, USA,,
2021-10-12T08:28:37.959Z,3.5, USA,,
2021-10-12T08:39:18.540Z,2.72, Hawaii,,
2021-10-12T09:15:02.640Z,2.71, Hawaii,,
2021-10-12T09:24:03.839Z,6.4, Greece,,
2021-10-12T11:29:05.580Z,3.84, USA,,
2021-10-12T13:15:24.771Z,2.5, USA,,
2021-10-12T13:38:32.379Z,4.8,South Sandwich Islands region,,
2021-10-12T14:12:29.567Z,4.5, Russia,,
2021-10-12T14:14:17.487Z,3, USA,,
2021-10-12T15:16:49.820Z,3.08, Hawaii,,
2021-10-12T15:25:17.702Z,4.1, Indonesia,,
2021-10-12T16:23:39.551Z,2.5, USA,,
2021-10-12T16:35:59.490Z,2.97, Hawaii,,
2021-10-12T16:53:58.252Z,2.9, USA,,
2021-10-12T18:01:52.655Z,4, Chile,,
2021-10-12T18:44:06.972Z,4.9, Papua New Guinea,,
2021-10-12T18:47:57.724Z,3, USA,,
2021-10-12T19:05:07.471Z,3.4, USA,,
2021-10-12T19:50:15.150Z,3.25, USA,,
2021-10-12T20:03:01.510Z,3.85, Dominian Republic,,
2021-10-12T20:51:12.200Z,2.58, Puerto Rico,,
2021-10-13T00:23:50.094Z,2.6, USA,,
2021-10-13T01:54:30.991Z,2.5, USA,,
2021-10-13T02:22:46.220Z,3.45, Puerto Rico,,
2021-10-13T02:44:16.750Z,3.28, Puerto Rico,,
2021-10-13T02:54:27.146Z,4.7, Costa Rica,,
2021-10-13T03:08:56.087Z,4.6, Indonesia,,
2021-10-13T03:28:51.065Z,4.6, Indonesia,,
2021-10-13T03:31:21.108Z,4.6, Tonga,,
2021-10-13T04:58:34.810Z,4.1, Japan,,
2021-10-13T05:00:43.652Z,4.9, Indonesia,,
2021-10-13T05:24:46.598Z,4.8,South Sandwich Islands region,,
2021-10-13T06:02:40.024Z,4.4, China,,
2021-10-13T06:25:38.423Z,5, Papua New Guinea,,
2021-10-13T07:55:30.094Z,5.4, Argentina,,
2021-10-13T09:49:09.861Z,4.9,South Sandwich Islands region,,
2021-10-13T09:54:28.902Z,4.9, Papua New Guinea,,
2021-10-13T09:57:27.881Z,5, Indonesia,,
2021-10-13T10:49:53.410Z,2.46, Hawaii,,
2021-10-13T10:51:47.777Z,4.6, Indonesia,,
2021-10-13T11:22:49.272Z,4.3, Russia,,
2021-10-13T11:34:22.467Z,3.7, USA,,
2021-10-13T12:06:13.297Z,4.1, Chile,,
2021-10-13T13:43:28.830Z,2.73, Hawaii,,
2021-10-13T14:34:49.643Z,2.8, USA,,
2021-10-13T15:50:13.563Z,2.5, USA,,
2021-10-13T15:50:34.780Z,2.77, Hawaii,,
2021-10-13T17:48:06.727Z,4.4, Philippines,,
2021-10-13T18:22:51.123Z,4.4, Greece,,
2021-10-13T18:43:44.970Z,2.54, USA,,
2021-10-13T19:06:03.421Z,2.6, USA,,
2021-10-13T20:56:28.224Z,3.9, USA,,
