time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T15:53:01.660Z,38.1598,-118.2439,5.7,2.1,ml,30,72.75,0.151,0.1305,nn,nn00825423,2021-10-11T16:17:12.799Z,"28 km SSW of Mina, Nevada",earthquake,,3.3,0.35,15,reviewed,nn,nn
2021-10-11T15:48:43.440Z,39.4178333,-110.332,-0.52,0.98,md,4,166,0.00823,0.01,uu,uu60462617,2021-10-11T16:49:30.940Z,"15 km SSE of Sunnyside, Utah",earthquake,3.04,0.78,0.172,4,reviewed,uu,uu
2021-10-11T15:27:49.072Z,0.8759,126.1488,10,5.1,mb,,32,1.222,0.49,us,us6000ftqr,2021-10-11T16:48:27.926Z,"137 km W of Ternate, Indonesia",earthquake,5.5,1.8,0.054,120,reviewed,us,us
2021-10-11T15:25:39.250Z,38.7835007,-122.7256699,2.27,1.27,md,6,93,0.04558,0.03,nc,nc73638310,2021-10-11T17:56:26.507Z,"3km ENE of The Geysers, CA",earthquake,0.4,2.4,0.18,5,automatic,nc,nc
2021-10-11T15:14:02.820Z,38.5123333,-119.5238333,4.21,0.51,md,9,131,0.02206,0.08,nc,nc73638305,2021-10-11T19:20:10.240Z,"31km SE of Markleeville, CA",earthquake,0.71,0.49,0.114,6,reviewed,nc,nc
2021-10-11T15:13:32.281Z,-27.3188,-70.6017,62.96,4.2,mwr,,133,0.223,0.58,us,us6000ftqp,2021-10-11T17:21:00.704Z,"27 km WNW of Copiapó, Chile",earthquake,6,4.9,,,reviewed,us,guc
2021-10-11T15:13:21.610Z,38.5088333,-119.5285,4.74,1.6,md,15,60,0.0251,0.11,nc,nc73638300,2021-10-11T19:54:11.646Z,"31km SE of Markleeville, CA",earthquake,0.26,0.29,0.252,16,reviewed,nc,nc
2021-10-11T15:12:03.400Z,38.8318333,-122.8168333,0.77,0.72,md,18,70,0.01605,0.06,nc,nc73638295,2021-10-11T21:55:11.464Z,"8km NW of The Geysers, CA",earthquake,0.23,0.38,0.483,4,reviewed,nc,nc
2021-10-11T15:10:03.470Z,38.84,-122.8311667,2.32,0.43,md,15,108,0.003656,0.02,nc,nc73638290,2021-10-11T22:03:12.041Z,"10km NW of The Geysers, CA",earthquake,0.31,0.39,0.144,4,reviewed,nc,nc
2021-10-11T15:07:10.710Z,39.4245,-110.294,-2.81,1.45,ml,10,200,0.02409,0.12,uu,uu60462612,2021-10-11T16:10:17.240Z,"16 km SSE of Sunnyside, Utah",earthquake,0.89,1.96,0.094,3,reviewed,uu,uu
2021-10-11T15:06:39.765Z,63.1324,-149.8048,1.4,1.6,ml,,,,0.4,ak,ak021d1xlfo6,2021-10-11T15:11:16.874Z,"51 km SW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-11T15:06:34.580Z,38.8364983,-122.8249969,1.4,1.18,md,10,215,0.008454,0.04,nc,nc73638285,2021-10-11T16:08:12.092Z,"9km NW of The Geysers, CA",earthquake,0.57,0.51,0.01,3,automatic,nc,nc
2021-10-11T15:06:08.091Z,60.0614,-152.9505,108.6,1.9,ml,,,,0.43,ak,ak021d1xkc8y,2021-10-11T18:37:23.680Z,"69 km W of Happy Valley, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-10-11T15:04:47.484Z,61.9221,-150.9629,15.6,1.4,ml,,,,0.54,ak,ak021d1xl0uk,2021-10-11T15:09:36.539Z,"24 km ESE of Skwentna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-11T14:57:34.990Z,44.3745,-110.1893333,8.55,0.45,md,6,271,0.07075,0.04,uu,uu60462607,2021-10-11T17:20:38.350Z,"72 km SSW of Silver Gate, Montana",earthquake,2.73,1.05,0.115,2,reviewed,uu,uu
2021-10-11T14:32:00.562Z,59.7209,-152.6925,84.2,1.8,ml,,,,0.64,ak,ak021d1x5hog,2021-10-11T14:38:12.956Z,"48 km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-11T14:30:48.860Z,38.5186667,-119.4081667,2.41,0.92,md,8,146,0.02758,0.04,nc,nc73638280,2021-10-11T19:44:13.438Z,"30km S of Smith Valley, NV",earthquake,0.45,0.7,0.125,6,reviewed,nc,nc
2021-10-11T14:12:53.807Z,56.2498,-156.5319,65.4,2.6,ml,,,,0.47,ak,ak021d1x1bgk,2021-10-11T14:39:04.040Z,"116 km E of Chignik, Alaska",earthquake,,1.3,,,automatic,ak,ak
2021-10-11T14:08:34.810Z,35.826,-117.6515,9.48,0.96,ml,14,74,0.04506,0.08,ci,ci40067832,2021-10-11T17:57:22.748Z,"23km N of Ridgecrest, CA",earthquake,0.18,0.41,0.189,3,reviewed,ci,ci
2021-10-11T14:04:19.800Z,33.9633333,-116.9743333,4.23,1.08,ml,33,53,0.04216,0.14,ci,ci40067816,2021-10-11T20:33:33.330Z,"4km N of Beaumont, CA",earthquake,0.17,0.32,0.153,16,reviewed,ci,ci
2021-10-11T14:03:18.140Z,19.2458324432373,-155.393829345703,32.1500015258789,1.99000001,md,43,139,,0.129999995,hv,hv72750087,2021-10-11T14:06:26.700Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.63,0.75999999,1.03999996,14,automatic,hv,hv
2021-10-11T13:59:31.772Z,56.2795,-156.5721,50.1,3.5,ml,,,,0.51,ak,ak021d1wpwr6,2021-10-11T21:13:58.040Z,"113 km E of Chignik, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2021-10-11T13:59:12.257Z,61.8699,-149.2723,18.8,1.5,ml,,,,1.11,ak,ak021d1wpvbg,2021-10-11T14:05:28.128Z,"14 km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-11T13:56:00.880Z,33.3545,-116.3728333,12.09,1.07,ml,34,62,0.0535,0.21,ci,ci40067800,2021-10-11T20:43:16.603Z,"11km N of Borrego Springs, CA",earthquake,0.24,0.59,0.086,16,reviewed,ci,ci
2021-10-11T13:44:11.950Z,19.1628341674805,-155.485336303711,30.6000003814697,2.08999991,md,38,160,,0.129999995,hv,hv72750077,2021-10-11T13:47:32.360Z,"4 km S of Pāhala, Hawaii",earthquake,0.84,1.11000001,0.959999979,12,automatic,hv,hv
2021-10-11T13:35:19.140Z,36.37,-117.8455,0.56,1.45,ml,20,105,0.1833,0.11,ci,ci40067784,2021-10-11T20:51:04.645Z,"17km NE of Olancha, CA",earthquake,0.21,0.68,0.139,9,reviewed,ci,ci
2021-10-11T13:29:18.480Z,60.7748,-150.4703,53.9,1.4,ml,,,,0.27,ak,ak021d1wjgaw,2021-10-11T13:31:54.146Z,"20 km SE of Point Possession, Alaska",earthquake,,2.7,,,automatic,ak,ak
2021-10-11T13:28:59.630Z,36.5713348,-121.0873337,10.13,1.47,md,6,145,0.03911,0.03,nc,nc73638275,2021-10-11T15:11:13.480Z,"7km NE of Pinnacles, CA",earthquake,0.84,1.28,0.08,7,automatic,nc,nc
2021-10-11T13:16:40.840Z,35.7958333,-117.7566667,8.33,0.79,ml,21,49,0.01435,0.11,ci,ci40067752,2021-10-11T20:56:07.554Z,"17km NNE of Inyokern, CA",earthquake,0.19,0.37,0.282,9,reviewed,ci,ci
2021-10-11T13:12:41.490Z,19.2024993896484,-155.414993286133,34.1699981689453,2.17000008,md,24,180,,0.140000001,hv,hv72750052,2021-10-11T13:15:46.190Z,"6 km E of Pāhala, Hawaii",earthquake,0.95,0.74000001,0.720000029,3,automatic,hv,hv
2021-10-11T12:50:36.786Z,34.0855,25.8885,10,4.2,mb,,175,1.454,0.68,us,us6000ftps,2021-10-11T13:02:58.040Z,"103 km S of Ierápetra, Greece",earthquake,6.8,2,0.115,21,reviewed,us,us
2021-10-11T12:48:31.788Z,31.66849093,-104.4072288,6.362939453,2.2,ml,24,61,0.07974709066,0.3,tx,tx2021tyas,2021-10-11T20:54:46.274Z,"56 km S of Whites City, New Mexico",earthquake,1.34366817,1.495795498,0.1,12,reviewed,tx,tx
2021-10-11T12:44:20.470Z,38.8064995,-122.7529984,1.23,0.85,md,10,209,0.007869,0.01,nc,nc73638255,2021-10-11T13:21:12.795Z,"3km SW of Cobb, CA",earthquake,0.58,0.53,,3,automatic,nc,nc
2021-10-11T12:43:14.879Z,62.5586,-148.3171,45.2,1.4,ml,,,,0.88,ak,ak021d1w10fx,2021-10-11T12:48:09.300Z,"85 km N of Chickaloon, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-11T12:38:12.970Z,48.559,-123.173166666667,3.97,1.07,ml,7,106,0.06155,0.07,uw,uw61780007,2021-10-11T17:49:14.450Z,"11 km WNW of Friday Harbor, Washington",earthquake,0.3,10.4,0.0410128436967678,2,reviewed,uw,uw
2021-10-11T12:34:32.285Z,0.8215,126.1888,9.19,5.7,mww,,40,1.178,0.98,us,us6000ftpp,2021-10-11T21:57:46.571Z,"133 km W of Ternate, Indonesia",earthquake,6.8,3.2,0.075,17,reviewed,us,us
2021-10-11T12:24:48.937Z,53.368,-159.9824,25.6,3.1,ml,,,,0.52,ak,ak021d1vx5gj,2021-10-11T18:22:41.051Z,"221 km S of Sand Point, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2021-10-11T12:10:08.080Z,37.3064995,-121.9711685,3.41,1.9,md,8,111,0.1003,0.05,nc,nc73638250,2021-10-11T18:03:25.548Z,"3km NW of Campbell, CA",earthquake,0.44,1.67,0.16,10,automatic,nc,nc
2021-10-11T12:04:50.508Z,57.2949,-146.1408,10,3.3,ml,,202,2.143,0.4,us,us6000ftpm,2021-10-11T12:17:19.040Z,"Gulf of Alaska",earthquake,7.5,2,0.041,80,reviewed,us,us
2021-10-11T11:52:01.466Z,38.1744,-117.8001,7.1,1.2,ml,18,85.67,0.058,0.1171,nn,nn00825413,2021-10-11T19:37:57.623Z,"36 km SE of Mina, Nevada",earthquake,,0.9,0.42,9,reviewed,nn,nn
2021-10-11T11:40:54.410Z,35.8326667,-117.6566667,10.09,0.49,ml,10,78,0.05096,0.08,ci,ci40067696,2021-10-11T17:02:39.296Z,"24km N of Ridgecrest, CA",earthquake,0.25,0.44,0.093,3,reviewed,ci,ci
2021-10-11T11:36:46.325Z,38.1733,-117.8861,9.3,1.4,ml,17,102.82,0.016,0.1187,nn,nn00825411,2021-10-11T19:28:31.105Z,"30 km SE of Mina, Nevada",earthquake,,0.8,0.3,10,reviewed,nn,nn
2021-10-11T11:34:32.532Z,38.1637,-117.8952,11.8,0.8,ml,16,108.99,0.019,0.1334,nn,nn00825408,2021-10-11T19:22:15.062Z,"31 km SE of Mina, Nevada",earthquake,,0.8,0.26,8,reviewed,nn,nn
2021-10-11T11:33:34.180Z,61.489,-150.0028,17.6,2.4,ml,,,,0.76,ak,ak021d1vdh80,2021-10-11T11:57:56.040Z,"4 km SW of Big Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
